"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "XML", "comment", "blank", "total"
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\ui\ui.module.scss", "SCSS", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\ui\ui.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 5, 56
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\approveModal\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\approveModal\ui\ui.module.scss", "SCSS", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\approveModal\ui\ui.tsx", "TypeScript JSX", 0, 156, 0, 0, 0, 1, 12, 169
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\ui\ui.module.scss", "SCSS", 0, 0, 73, 0, 0, 0, 5, 78
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowsTable-slice\flowsTable\ui\ui.tsx", "TypeScript JSX", 0, 100, 0, 0, 0, 0, 4, 104
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\generateFuncTaskView-slice\funcTaskDoc\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\generateFuncTaskView-slice\funcTaskDoc\ui\ui.module.scss", "SCSS", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\generateFuncTaskView-slice\funcTaskDoc\ui\ui.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\api\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\ui\ui.module.scss", "SCSS", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\news-slice\articles\ui\ui.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 6, 49
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\profile-slice\achievementCard\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\profile-slice\achievementCard\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\profile-slice\achievementCard\ui\ui.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 3, 59
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\api\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\ratingIcons\index.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 8, 71
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\ui\ui.module.scss", "SCSS", 0, 0, 82, 0, 0, 0, 16, 98
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\ratingTable-slice\rating\ui\ui.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 4, 90
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\api\index.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\archive\ui\ui.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 6, 64
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\choice\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\choice\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\choice\ui\ui.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\full\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\full\ui\ui.module.scss", "SCSS", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\full\ui\ui.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\small\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\small\ui\ui.module.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\create\small\ui\ui.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\api\index.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\my\ui\ui.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 5, 63
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\view\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\view\ui\ui.module.scss", "SCSS", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\flows\view\ui\ui.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\desktop\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\desktop\ui\ui.module.scss", "SCSS", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\desktop\ui\ui.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 3, 77
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\mobile\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\mobile\ui\ui.module.scss", "SCSS", 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\layouts\mobile\ui\ui.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\news\view\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\news\view\ui\ui.module.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\news\view\ui\ui.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\postView\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\postView\ui\ui.module.scss", "SCSS", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\postView\ui\ui.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\profile\api\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\profile\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\profile\ui\ui.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\rating\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\rating\ui\ui.module.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\screens\rating\ui\ui.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\api\axios-config\index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\hooks\useWindowSize\index.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\achievement.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\auth.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\company.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\flow.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\flowHistoryGraph.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\shared\interface\flowsCreateForm.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 1, 14
